slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status,elevation_m,slope_deg,aspect_deg
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,1,2016-05-17,True,129.3,1293.0,ok,65.0,15.491794668541605,352.6344269136552
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,1,2016-05-18,True,53.0,530.0,ok,45.0,5.047019743663306,336.26881191184566
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,18 May 2016,1,2016-05-18,True,50.3,503.0,ok,57.0,14.741657344455357,222.4867577487745
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,1,2010-04-02,True,28.9,289.0,ok,49.0,6.2737099863105374,306.0382012919582
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,1,2016-08-31,True,36.7,367.0,ok,359.0,31.7008523338746,303.35184109684667
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,18 May 2016,1,2016-05-18,True,57.2,572.0,ok,33.0,4.922640937629667,235.7215364215081
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,1,2020-06-02,True,47.5,475.0,ok,49.0,2.957906787565736,20.149156583516188
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,1,2010-06-03,True,36.9,369.0,ok,48.0,18.28534055299416,255.83756351947
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,1,2020-06-05,True,5.6,56.0,ok,39.0,10.281304858387433,11.318940832048485
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,1,2020-06-02,True,47.5,475.0,ok,39.0,11.538080943005752,217.62096844299683
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth,Slide,02 June 2020,1,2020-06-02,True,32.4,324.0,ok,44.0,14.844340767609422,23.776643185034544
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth,Slide,02 June 2020,1,2020-06-02,True,32.4,324.0,ok,33.0,15.29453113577931,237.84885664993345
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur Circle.",24.79489,92.55506,Debris,Slide,02 June 2020,1,2020-06-02,True,44.9,449.0,ok,45.0,8.52084935664267,193.75484316306856
43,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth,Slide,02 June 2020,1,2020-06-02,True,83.9,839.0,ok,61.0,15.610303841618816,106.81988941330911
132,AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Between Mailongdisa and Harangajao Railway stations. CHainage:128.400 km to 128.600 km,25.121,92.915028,Debris,Slide,20 June 2010,1,2010-06-20,True,2.4,24.0,ok,306.0,18.023469976701968,19.227718282585712
