event_date,latitude,longitude,state,district
2016-05-17,24.478972,92.682861,Assam,Hailakandi
2016-05-18,24.511306,92.693028,Assam,Hailakandi
2016-05-18,24.515944,92.540889,Assam,Hailakandi
2010-04-02,24.57025,92.685,Assam,Cachar
2016-08-31,24.645417,93.005361,Assam,Cachar
2016-05-18,24.659389,92.497361,Assam,Karimganj
2020-06-02,24.70656,92.65008,Assam,Hailakandi
2010-06-03,24.710833,92.481167,Assam,Karimganj
2020-06-05,24.72192,92.90381,Assam,Cachar
2020-06-02,24.73117,92.64739,Assam,Hailakandi
2020-06-02,24.78002778,92.45372222,Assam,Karimganj
2020-06-02,24.78380556,92.45563889,Assam,Karimganj
2020-06-02,24.79489,92.55506,Assam,Hailakandi
2020-06-02,24.92097,93.07306,Assam,Cachar
2010-06-20,25.121,92.915028,Assam,Dima Hasao
2010-04-02,25.124306,92.904278,Assam,Dima Hasao
2010-06-16,25.124583,92.989111,Assam,Dima Hasao
2018-06-14,25.146306,93.942167,Assam,Dima Hasao
2018-06-14,25.224278,93.222861,Assam,Dima Hasao
2010-04-02,25.229556,93.1556,Assam,Dima Hasao
2018-06-14,26.098167,91.881278,Assam,Dima Hasao
2018-06-14,26.11,94.76,Assam,Dima Hasao
2018-08-24,26.112667,91.853889,Assam,Kamrup
2017-06-13,26.15428,91.79264,Assam,Kamrup (Metro)
2017-06-13,26.17672,91.76525,Assam,Kamrup (Metro)
2017-06-13,26.17756,91.76589,Assam,Kamrup (Metro)
2017-06-16,26.18842,91.85125,Assam,Kamrup (Metro)
2017-07-04,26.19081,91.84528,Assam,Kamrup (Metro)
2018-08-24,26.195306,91.765639,Assam,Kamrup
2011-03-23,26.19622,91.76336,Assam,Kamrup (Metro)
2009-08-20,26.20261,91.14528,Assam,Dima Hasao
2017-07-03,26.20536,91.86497,Assam,Kamrup (Metro)
2017-07-04,26.37456,91.84561,Assam,Kamrup (Metro)
2021-04-28,26.88969,92.12266,Assam,Udalguri
2021-04-28,26.89074,92.12068,Assam,Udalguri
2024-07-05,26.11464,91.83886,Assam,Kamrup (Metro)
2024-05-24,26.19044,91.77502,Assam,Kamrup (Metro)
2022-05-15,25.16736,93.00953,Assam,Dima Hasao
2022-05-14,25.16023,93.01084,Assam,Dima Hasao
2022-05-14,25.16579,93.00948,Assam,Dima Hasao
2022-05-14,25.15859,93.01292,Assam,Dima Hasao
2014-09-22,26.13441667,91.74875,Assam,Kamrup (Metro)
2014-09-23,26.10711111,91.78916667,Assam,Kamrup (Metro)
2014-09-25,26.09961111,91.87811111,Assam,Kamrup
2022-05-14,25.15556,93.021583,Assam,Dima Hasao
2022-05-15,25.158138,93.024778,Assam,Dima Hasao
2016-05-22,25.24194444,93.14319444,Assam,Dima Hasao (N.C. Hills)
2016-05-22,25.41733333,93.12908333,Assam,Dima Hasao (N.C. Hills)
2022-05-14,25.16804,93.02503,Assam,Dima Hasao
2022-05-14,25.168083,93.024922,Assam,Dima Hasao
2016-05-22,25.27480556,93.14555556,Assam,Dima Hasao (N.C. Hills)
2016-05-22,25.18955556,93.09641667,Assam,Dima Hasao (N.C. Hills)
2016-06-22,26.19552778,91.78055556,Assam,Kamrup (Metro)
2022-05-15,25.17483,93.019861,Assam,Dima Hasao
2022-05-13,25.1568056,93.019722,Assam,Dima Hasao
2022-05-14,25.162667,93.009806,Assam,Dima Hasao
2016-05-17,25.17986111,93.07077778,Assam,Dima Hasao (N.C. Hills)
2016-05-17,25.14677778,93.03097222,Assam,Dima Hasao (N.C. Hills)
2016-05-17,25.15561111,93.02222222,Assam,Dima Hasao
2016-05-22,25.15658333,93.01961111,Assam,Dima Hasao
2016-05-27,25.15713889,93.01719444,Assam,Dima Hasao (N.C. Hills)
2016-05-22,25.164,93.04019444,Assam,Dima Hasao (N.C. Hills)
2016-05-17,25.14872222,93.03191667,Assam,Dima Hasao (N.C. Hills)
2016-05-17,25.14525,93.02916667,Assam,Dima Hasao (N.C. Hills)
2016-05-22,25.15572222,93.02277778,Assam,Dima Hasao
2016-05-17,25.23230556,93.03333333,Assam,Dima Hasao
